fp.3.Luci_03G08.ctg.ctg7180000034479 fp.2.Luci_02H12.ctg.ctg7180000019811
fp.3.Luci_05B08.ctg.ctg7180000094380 fp.2.Luci_02H12.ctg.ctg7180000019804
fp.3.Luci_02H10.ctg.ctg7180000049139 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_05G05.ctg.ctg7180000102642 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_12G02.ctg.ctg7180000187405 fp.2.Luci_02H12.ctg.ctg7180000020486
fp.3.Luci_62K02.ctg.ctg7180000329963 fp.2.Luci_02H12.ctg.ctg7180000020117
fp.2.Luci_18E03.ctg.ctg7180000220803 fp.2.Luci_02H12.ctg.ctg7180000020288
fp.3.Luci_13E07.ctg.ctg7180000098687 fp.2.Luci_02H12.ctg.ctg7180000020141
fp.3.Luci_03E09.ctg.ctg7180000039374 fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_05F03.ctg.ctg7180000032356 fp.2.Luci_02H12.ctg.ctg7180000020363
fp.3.Luci_15E07.ctg.ctg7180000251269 fp.2.Luci_02H12.ctg.ctg7180000019968
fp.3.Luci_05G06.ctg.ctg7180000064433 fp.2.Luci_02H12.ctg.ctg7180000019730
fp.3.Luci_04H09.ctg.ctg7180000148471 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_52A06.ctg.ctg7180000357203 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_04G09.ctg.ctg7180000133695 fp.2.Luci_02H12.ctg.ctg7180000019686
fp.3.Luci_19B12.ctg.ctg7180000350140 fp.2.Luci_02H12.ctg.ctg7180000020288
fp.3.Luci_02F09.ctg.ctg7180000037040 fp.2.Luci_02H12.ctg.ctg7180000020031
fp.3.Luci_12C04.ctg.jtg7180000168184f_7180000168185f fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_04H05.ctg.ctg7180000158936 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_52H04.ctg.jtg7180000397919f_7180000397920f fp.2.Luci_02H12.ctg.ctg7180000019828
fp.3.Luci_01F01.ctg.ctg7180000051361 fp.2.Luci_02H12.ctg.ctg7180000019730
fp.3.Luci_22D10.ctg.ctg7180000318599 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_02D05.ctg.ctg7180000163022 fp.2.Luci_02H12.ctg.ctg7180000020171
fp.3.Luci_04H04.ctg.ctg7180000198416 fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_03B02.ctg.ctg7180000123103 fp.2.Luci_02H12.ctg.ctg7180000020126
fp.3.Luci_63K08.ctg.ctg7180000369465 fp.2.Luci_02H12.ctg.ctg7180000020577
fp.2.Luci_18G12.ctg.ctg7180000136021 fp.2.Luci_02H12.ctg.ctg7180000020288
fp.3.Luci_09G01.ctg.ctg7180000291267 fp.2.Luci_02H12.ctg.ctg7180000019968
fp.3.Luci_17F10.ctg.ctg7180000131779 fp.2.Luci_02H12.ctg.ctg7180000019730
fp.3.Luci_13D11.ctg.ctg7180000108947 fp.2.Luci_02H12.ctg.ctg7180000020141
fp.3.Luci_05G12.ctg.ctg7180000092036 fp.2.Luci_02H12.ctg.ctg7180000019952
fp.2.Luci_18F10.ctg.ctg7180000242743 fp.2.Luci_02H12.ctg.ctg7180000019879
fp.3.Luci_03G08.ctg.ctg7180000036475 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_01D05.ctg.ctg7180000048168 fp.2.Luci_02H12.ctg.ctg7180000020126
fp.2.Luci_18H02.ctg.ctg7180000238479 fp.2.Luci_02H12.ctg.ctg7180000020609
fp.3.Luci_52B08.ctg.ctg7180000521641 fp.2.Luci_02H12.ctg.ctg7180000020363
fp.3.Luci_05A04.ctg.ctg7180000046232 fp.2.Luci_02H12.ctg.ctg7180000020031
fp.3.Luci_20G09.ctg.ctg7180000225615 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_01C09.ctg.ctg7180000304510 fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_01F01.ctg.ctg7180000051361 fp.2.Luci_02H12.ctg.ctg7180000020264
fp.3.Luci_05F07.ctg.jtg7180000048929r_7180000059259r fp.2.Luci_02H12.ctg.ctg7180000020141
fp.3.Luci_05G10.ctg.ctg7180000053969 fp.2.Luci_02H12.ctg.ctg7180000020299
fp.3.Luci_52F03.ctg.ctg7180000785574 fp.2.Luci_02H12.ctg.ctg7180000019804
fp.3.Luci_18B05.ctg.ctg7180000273041 fp.2.Luci_02H12.ctg.ctg7180000020356
fp.3.Luci_16A08.ctg.ctg7180000209994 fp.2.Luci_02H12.ctg.ctg7180000020486
fp.3.Luci_62K05.ctg.ctg7180000221842 fp.2.Luci_02H12.ctg.ctg7180000019701
fp.3.Luci_16A07.ctg.ctg7180000148252 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_05D01.ctg.ctg7180000061861 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_19D03.ctg.jtg7180000305725r_7180000305519r fp.2.Luci_02H12.ctg.ctg7180000020486
fp.3.Luci_14C01.ctg.ctg7180000121380 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_15G06.ctg.ctg7180000287771 fp.2.Luci_02H12.ctg.ctg7180000020171
fp.3.Luci_81C12.ctg.jtg7180000282619f_7180000296864f fp.2.Luci_02H12.ctg.ctg7180000019799
fp.3.Luci_02F08.ctg.ctg7180000027279 fp.2.Luci_02H12.ctg.ctg7180000020363
fp.2.Luci_18G04.ctg.ctg7180000184546 fp.2.Luci_02H12.ctg.ctg7180000020126
fp.3.Luci_02H06.ctg.ctg7180000102897 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_01F07.ctg.ctg7180000270142 fp.2.Luci_02H12.ctg.ctg7180000019925
fp.3.Luci_06B04.ctg.ctg7180000047963 fp.2.Luci_02H12.ctg.ctg7180000019799
fp.3.Luci_81B02.ctg.ctg7180000166057 fp.2.Luci_02H12.ctg.ctg7180000020363
fp.3.Luci_05C10.ctg.jtg7180000042627r_7180000049168r fp.2.Luci_02H12.ctg.ctg7180000019925
fp.3.Luci_13H05.ctg.ctg7180000106169 fp.2.Luci_02H12.ctg.ctg7180000019828
fp.3.Luci_19F01.ctg.ctg7180000400604 fp.2.Luci_02H12.ctg.ctg7180000020495
fp.3.Luci_05G01.ctg.ctg7180000107664 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_11C11.ctg.ctg7180000232403 fp.2.Luci_02H12.ctg.ctg7180000020356
fp.3.Luci_03C04.ctg.ctg7180000053176 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_15C10.ctg.ctg7180000222438 fp.2.Luci_02H12.ctg.ctg7180000020363
fp.3.Luci_05A02.ctg.ctg7180000104290 fp.2.Luci_02H12.ctg.ctg7180000020363
fp.3.Luci_09F04.ctg.ctg7180000288736 fp.2.Luci_02H12.ctg.ctg7180000020233
fp.3.Luci_62K04.ctg.ctg7180000329064 fp.2.Luci_02H12.ctg.ctg7180000020495
fp.3.Luci_03G06.ctg.ctg7180000020492 fp.2.Luci_02H12.ctg.ctg7180000020577
fp.3.Luci_03F02.ctg.ctg7180000024813 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_03A10.ctg.ctg7180000027913 fp.2.Luci_02H12.ctg.ctg7180000020299
fp.3.Luci_03B06.ctg.jtg7180000077380r_7180000110784f fp.2.Luci_02H12.ctg.ctg7180000020171
fp.3.Luci_23B11.ctg.ctg7180000178607 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_04H03.ctg.ctg7180000192495 fp.2.Luci_02H12.ctg.ctg7180000019730
fp.3.Luci_21A08.ctg.ctg7180000209053 fp.2.Luci_02H12.ctg.ctg7180000020486
fp.2.Luci_15B12.ctg.ctg7180000304501 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_21D10.ctg.ctg7180000264234 fp.2.Luci_02H12.ctg.ctg7180000020141
fp.3.Luci_04F08.ctg.ctg7180000182694 fp.2.Luci_02H12.ctg.ctg7180000019828
fp.3.Luci_01D01.ctg.ctg7180000128840 fp.2.Luci_02H12.ctg.ctg7180000020288
fp.3.Luci_04H08.ctg.ctg7180000105697 fp.2.Luci_02H12.ctg.ctg7180000020031
fp.3.Luci_81B04.ctg.ctg7180000131514 fp.2.Luci_02H12.ctg.ctg7180000020495
fp.3.Luci_12A01.ctg.ctg7180000128626 fp.2.Luci_02H12.ctg.ctg7180000019799
fp.3.Luci_13A04.ctg.ctg7180000206041 fp.2.Luci_02H12.ctg.ctg7180000020264
fp.3.Luci_01G02.ctg.ctg7180000029486 fp.2.Luci_02H12.ctg.ctg7180000020356
fp.3.Luci_14C12.ctg.ctg7180000156352 fp.2.Luci_02H12.ctg.ctg7180000019833
fp.3.Luci_01G12.ctg.ctg7180000050862 fp.2.Luci_02H12.ctg.ctg7180000020486
fp.3.Luci_10D08.ctg.ctg7180000168758 fp.2.Luci_02H12.ctg.ctg7180000019730
fp.3.Luci_06B05.ctg.ctg7180000084618 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_19F01.ctg.ctg7180000400604 fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_01H10.ctg.ctg7180000215919 fp.2.Luci_02H12.ctg.ctg7180000020486
fp.3.Luci_03H01.ctg.ctg7180000037608 fp.2.Luci_02H12.ctg.ctg7180000019828
fp.3.Luci_05D02.ctg.ctg7180000095657 fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_02F05.ctg.ctg7180000054558 fp.2.Luci_02H12.ctg.ctg7180000020363
fp.3.Luci_05H05.ctg.ctg7180000063295 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_01D04.ctg.ctg7180000695550 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_02A05.ctg.ctg7180000034944 fp.2.Luci_02H12.ctg.ctg7180000019804
fp.3.Luci_01B12.ctg.ctg7180000063271 fp.2.Luci_02H12.ctg.ctg7180000019968
fp.3.Luci_52E10.ctg.jtg7180000315777f_7180000311073f_7180000315778f_7180000315779f fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_13H12.ctg.ctg7180000112060 fp.2.Luci_02H12.ctg.ctg7180000020264
fp.3.Luci_04G02.ctg.ctg7180000186586 fp.2.Luci_02H12.ctg.ctg7180000020288
fp.3.Luci_11E06.ctg.jtg7180000436421f_7180000436422f fp.2.Luci_02H12.ctg.ctg7180000020356
fp.3.Luci_05H04.ctg.ctg7180000024027 fp.2.Luci_02H12.ctg.ctg7180000020577
fp.3.Luci_03C07.ctg.ctg7180000022929 fp.2.Luci_02H12.ctg.ctg7180000020495
fp.3.Luci_05A01.ctg.ctg7180000083021 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_05H07.ctg.ctg7180000117141 fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_99A05.ctg.ctg7180000130396 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_03A11.ctg.ctg7180000101165 fp.2.Luci_02H12.ctg.ctg7180000020363
fp.3.Luci_52F12.ctg.jtg7180000421581r_7180000425553r fp.2.Luci_02H12.ctg.ctg7180000019679
fp.3.Luci_18A03.ctg.ctg7180000114218 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_52B07.ctg.jtg7180000633287f_7180000641638f fp.2.Luci_02H12.ctg.ctg7180000020288
fp.3.Luci_10B07.ctg.jtg7180000170085f_7180000170454r fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_05H02.ctg.ctg7180000063602 fp.2.Luci_02H12.ctg.ctg7180000020171
fp.3.Luci_61K03.ctg.jtg7180000686142f_7180000685779f fp.2.Luci_02H12.ctg.ctg7180000020016
fp.3.Luci_02C02.ctg.ctg7180000033832 fp.2.Luci_02H12.ctg.ctg7180000019828
fp.3.Luci_19F05.ctg.jtg7180000250557f_7180000250558f fp.2.Luci_02H12.ctg.ctg7180000020495
fp.3.Luci_11D05.ctg.ctg7180000233344 fp.2.Luci_02H12.ctg.ctg7180000020171
fp.3.Luci_22B02.ctg.ctg7180000450266 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_64K04.ctg.ctg7180000515972 fp.2.Luci_02H12.ctg.ctg7180000019804
fp.3.Luci_04A10.ctg.ctg7180000092243 fp.2.Luci_02H12.ctg.ctg7180000019799
fp.3.Luci_05G09.ctg.ctg7180000026660 fp.2.Luci_02H12.ctg.ctg7180000020264
fp.3.Luci_03H06.ctg.ctg7180000036000 fp.2.Luci_02H12.ctg.ctg7180000019675
fp.3.Luci_05H08.ctg.ctg7180000047358 fp.2.Luci_02H12.ctg.ctg7180000019730
fp.3.Luci_01A02.ctg.ctg7180000026651 fp.2.Luci_02H12.ctg.ctg7180000019730
fp.3.Luci_03G12.ctg.ctg7180000020058 fp.2.Luci_02H12.ctg.ctg7180000019730
fp.3.Luci_03H06.ctg.ctg7180000051399 fp.2.Luci_02H12.ctg.ctg7180000019799
fp.2.Luci_18G12.ctg.ctg7180000211946 fp.2.Luci_02H12.ctg.ctg7180000020495
fp.2.Luci_81C04.ctg.ctg7180000239311 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_05A09.ctg.ctg7180000066383 fp.2.Luci_02H12.ctg.ctg7180000020356
fp.3.Luci_06A09.ctg.ctg7180000078537 fp.2.Luci_02H12.ctg.ctg7180000019686
fp.3.Luci_11C02.ctg.ctg7180000231618 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_02H03.ctg.ctg7180000051589 fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_14B08.ctg.ctg7180000178362 fp.2.Luci_02H12.ctg.ctg7180000020577
fp.3.Luci_02F07.ctg.ctg7180000044504 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_04G07.ctg.ctg7180000180062 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_04H09.ctg.jtg7180000107929r_7180000106456f fp.2.Luci_02H12.ctg.ctg7180000020577
fp.3.Luci_05F12.ctg.ctg7180000064370 fp.2.Luci_02H12.ctg.ctg7180000019925
fp.3.Luci_63K04.ctg.ctg7180000549998 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_52G04.ctg.jtg7180000527352f_7180000512402f_7180000512406f fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_07D05.ctg.ctg7180000401743 fp.2.Luci_02H12.ctg.ctg7180000019730
fp.3.Luci_22A02.ctg.ctg7180000382756 fp.2.Luci_02H12.ctg.ctg7180000020031
fp.3.Luci_15D08.ctg.jtg7180000483552f_7180000483553f fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_14E06.ctg.ctg7180000207897 fp.2.Luci_02H12.ctg.ctg7180000020299
fp.3.Luci_14A07.ctg.ctg7180000221039 fp.2.Luci_02H12.ctg.ctg7180000019828
fp.3.Luci_05A11.ctg.jtg7180000065207f_7180000058021r_7180000065231r_7180000068060f_7180000065245r_7180000100634f_7180000100635f fp.2.Luci_02H12.ctg.ctg7180000020356
fp.3.Luci_20A03.ctg.ctg7180000240611 fp.2.Luci_02H12.ctg.ctg7180000019968
fp.3.Luci_13H12.ctg.ctg7180000115391 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_01H05.ctg.ctg7180000019305 fp.2.Luci_02H12.ctg.ctg7180000019876
fp.3.Luci_20A10.ctg.ctg7180000276414 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_05F07.ctg.ctg7180000064259 fp.2.Luci_02H12.ctg.ctg7180000019828
fp.3.Luci_63K06.ctg.ctg7180000320204 fp.2.Luci_02H12.ctg.ctg7180000020031
fp.3.Luci_01E08.ctg.ctg7180000155379 fp.2.Luci_02H12.ctg.ctg7180000019804
fp.3.Luci_03D12.ctg.ctg7180000051141 fp.2.Luci_02H12.ctg.ctg7180000020486
fp.3.Luci_06B07.ctg.ctg7180000023377 fp.2.Luci_02H12.ctg.ctg7180000020264
fp.3.Luci_21A04.ctg.ctg7180000218384 fp.2.Luci_02H12.ctg.ctg7180000019831
fp.3.Luci_20D05.ctg.jtg7180000215214f_7180000215542r fp.2.Luci_02H12.ctg.ctg7180000020171
fp.3.Luci_52G04.ctg.jtg7180000511328f_7180000336112f fp.2.Luci_02H12.ctg.ctg7180000020495
fp.3.Luci_05D07.ctg.ctg7180000030261 fp.2.Luci_02H12.ctg.ctg7180000020486
fp.3.Luci_03C06.ctg.ctg7180000063764 fp.2.Luci_02H12.ctg.ctg7180000019686
fp.3.Luci_05F08.ctg.ctg7180000066526 fp.2.Luci_02H12.ctg.ctg7180000020126
fp.3.Luci_05C03.ctg.ctg7180000094861 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_03G07.ctg.ctg7180000023978 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.2.Luci_81F01.ctg.ctg7180000247292 fp.2.Luci_02H12.ctg.ctg7180000020171
fp.2.Luci_02H12.ctg.ctg7180000026865 fp.2.Luci_02H12.ctg.ctg7180000019945
fp.3.Luci_05H09.ctg.ctg7180000101564 fp.2.Luci_02H12.ctg.ctg7180000020495
fp.3.Luci_04H12.ctg.ctg7180000193152 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_03A09.ctg.ctg7180000078351 fp.2.Luci_02H12.ctg.ctg7180000019968
fp.3.Luci_01F12.ctg.ctg7180000093953 fp.2.Luci_02H12.ctg.ctg7180000019686
fp.3.Luci_15B07.ctg.ctg7180000536726 fp.2.Luci_02H12.ctg.ctg7180000019833
fp.3.Luci_16D05.ctg.ctg7180000071234 fp.2.Luci_02H12.ctg.ctg7180000020264
fp.3.Luci_03E02.ctg.ctg7180000018559 fp.2.Luci_02H12.ctg.ctg7180000020363
fp.3.Luci_02F05.ctg.ctg7180000056028 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_51G02.ctg.ctg7180000844228 fp.2.Luci_02H12.ctg.ctg7180000020288
fp.3.Luci_05B01.ctg.jtg7180000077027r_7180000078335f_7180000116713f fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_03B11.ctg.ctg7180000053175 fp.2.Luci_02H12.ctg.ctg7180000020577
fp.3.Luci_05F05.ctg.ctg7180000092655 fp.2.Luci_02H12.ctg.ctg7180000020031
fp.3.Luci_81B03.ctg.ctg7180000182225 fp.2.Luci_02H12.ctg.ctg7180000020288
fp.3.Luci_03B06.ctg.ctg7180000114562 fp.2.Luci_02H12.ctg.ctg7180000020031
fp.3.Luci_05A11.ctg.ctg7180000096279 fp.2.Luci_02H12.ctg.ctg7180000019799
fp.3.Luci_16B02.ctg.ctg7180000197880 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_15D06.ctg.ctg7180000394532 fp.2.Luci_02H12.ctg.ctg7180000020510
fp.3.Luci_09H10.ctg.ctg7180000153138 fp.2.Luci_02H12.ctg.ctg7180000019828
fp.3.Luci_17G03.ctg.ctg7180000107558 fp.2.Luci_02H12.ctg.ctg7180000019686
fp.3.Luci_10F08.ctg.jtg7180000145160f_7180000144709r fp.2.Luci_02H12.ctg.ctg7180000020299
fp.3.Luci_19C02.ctg.jtg7180000271738r_7180000291840f fp.2.Luci_02H12.ctg.ctg7180000019828
fp.3.Luci_03D03.ctg.ctg7180000081014 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_11H02.ctg.ctg7180000137784 fp.2.Luci_02H12.ctg.ctg7180000020114
fp.3.Luci_01A07.ctg.ctg7180000032794 fp.2.Luci_02H12.ctg.ctg7180000019633
fp.3.Luci_23C01.ctg.ctg7180000146452 fp.2.Luci_02H12.ctg.ctg7180000020020
fp.3.Luci_17A03.ctg.ctg7180000101269 fp.2.Luci_02H12.ctg.ctg7180000019729
fp.3.Luci_52D04.ctg.jtg7180000558566f_7180000547116r fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_02H09.ctg.ctg7180000080811 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_03E03.ctg.ctg7180000027142 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_81D07.ctg.ctg7180000047509 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_02D04.ctg.ctg7180000113985 fp.2.Luci_02H12.ctg.ctg7180000019968
fp.3.Luci_22D10.ctg.ctg7180000319027 fp.2.Luci_02H12.ctg.ctg7180000019804
fp.3.Luci_05C03.ctg.ctg7180000093604 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_12E09.ctg.jtg7180000180728f_7180000177142f_7180000152714r_7180000144140f_7180000176883r fp.2.Luci_02H12.ctg.ctg7180000020356
fp.3.Luci_51F04.ctg.jtg7180000623722f_7180000623723f fp.2.Luci_02H12.ctg.ctg7180000019878
fp.3.Luci_52A08.ctg.ctg7180000275635 fp.2.Luci_02H12.ctg.ctg7180000019686
fp.3.Luci_14B05.ctg.ctg7180000131916 fp.2.Luci_02H12.ctg.ctg7180000019730
fp.3.Luci_22C04.ctg.jtg7180000419339f_7180000434450f_7180000310679f_7180000434451f fp.2.Luci_02H12.ctg.ctg7180000020577
fp.3.Luci_09H08.ctg.ctg7180000123160 fp.2.Luci_02H12.ctg.ctg7180000020031
fp.3.Luci_04E12.ctg.ctg7180000032953 fp.2.Luci_02H12.ctg.ctg7180000019968
fp.3.Luci_10C07.ctg.ctg7180000202549 fp.2.Luci_02H12.ctg.ctg7180000020486
fp.3.Luci_16H07.ctg.ctg7180000257025 fp.2.Luci_02H12.ctg.ctg7180000020486
fp.3.Luci_51G02.ctg.ctg7180000834326 fp.2.Luci_02H12.ctg.ctg7180000020495
fp.3.Luci_21D10.ctg.ctg7180000268365 fp.2.Luci_02H12.ctg.ctg7180000020141
fp.3.Luci_16D12.ctg.jtg7180000205884f_7180000203751r fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_10B12.ctg.ctg7180000232563 fp.2.Luci_02H12.ctg.ctg7180000019634
fp.3.Luci_04H03.ctg.ctg7180000195556 fp.2.Luci_02H12.ctg.ctg7180000020264
fp.3.Luci_52F02.ctg.jtg7180000500087f_7180000500088f fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_03D01.ctg.ctg7180000044323 fp.2.Luci_02H12.ctg.ctg7180000020171
fp.3.Luci_18A08.ctg.jtg7180000146339r_7180000179480f fp.2.Luci_02H12.ctg.ctg7180000020288
fp.3.Luci_02H10.ctg.ctg7180000038885 fp.2.Luci_02H12.ctg.ctg7180000019879
fp.3.Luci_05E05.ctg.ctg7180000024845 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_05H05.ctg.jtg7180000068013f_7180000068014f fp.2.Luci_02H12.ctg.ctg7180000020031
fp.3.Luci_02H06.ctg.jtg7180000065079r_7180000100794f fp.2.Luci_02H12.ctg.ctg7180000019686
fp.3.Luci_05F12.ctg.ctg7180000098441 fp.2.Luci_02H12.ctg.ctg7180000019668
fp.3.Luci_05H09.ctg.ctg7180000105341 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_52G06.ctg.jtg7180000362350f_7180000635418f fp.2.Luci_02H12.ctg.ctg7180000020577
fp.3.Luci_05G12.ctg.ctg7180000089329 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_05B01.ctg.ctg7180000113735 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_04H01.ctg.ctg7180000137040 fp.2.Luci_02H12.ctg.ctg7180000019952
fp.3.Luci_14E11.ctg.ctg7180000119602 fp.2.Luci_02H12.ctg.ctg7180000020031
fp.3.Luci_01G01.ctg.ctg7180000046410 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_05A03.ctg.ctg7180000099783 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_04H10.ctg.ctg7180000190117 fp.2.Luci_02H12.ctg.ctg7180000019799
fp.3.Luci_06B01.ctg.ctg7180000065992 fp.2.Luci_02H12.ctg.ctg7180000019730
fp.3.Luci_23D07.ctg.ctg7180000126349 fp.2.Luci_02H12.ctg.ctg7180000020021
fp.3.Luci_05H06.ctg.ctg7180000041890 fp.2.Luci_02H12.ctg.ctg7180000019936
fp.3.Luci_04H01.ctg.ctg7180000098342 fp.2.Luci_02H12.ctg.ctg7180000020264
fp.3.Luci_16A11.ctg.ctg7180000116197 fp.2.Luci_02H12.ctg.ctg7180000020577
fp.3.Luci_12D11.ctg.ctg7180000123927 fp.2.Luci_02H12.ctg.ctg7180000019968
fp.3.Luci_23E06.ctg.jtg7180000160333f_7180000160334f fp.2.Luci_02H12.ctg.ctg7180000020299
fp.3.Luci_01H03.ctg.ctg7180000151344 fp.2.Luci_02H12.ctg.ctg7180000020031
fp.3.Luci_04A09.ctg.ctg7180000156020 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_13E07.ctg.ctg7180000098687 fp.2.Luci_02H12.ctg.ctg7180000019686
fp.3.Luci_05F11.ctg.ctg7180000052670 fp.2.Luci_02H12.ctg.ctg7180000020577
fp.3.Luci_51A03.ctg.ctg7180000303897 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_01D11.ctg.ctg7180000066637 fp.2.Luci_02H12.ctg.ctg7180000019685
fp.3.Luci_23E03.ctg.ctg7180000129868 fp.2.Luci_02H12.ctg.ctg7180000019880
fp.3.Luci_52C06.ctg.ctg7180001143491 fp.2.Luci_02H12.ctg.ctg7180000020363
fp.3.Luci_81C01.ctg.ctg7180000105039 fp.2.Luci_02H12.ctg.ctg7180000019685
